"U01-Q1003-QuangBT2::","Tuyên ngôn của Đảng Cộng sản (1848) xác định: những người cộng sản hiểu rõ những điều kiện, tiến trình và:
Select one:
a. Chất lượng của phong trào vô sản.
b. Kết quả của phong trào vô sản.
c. Chất lượng của giai cấp vô sản.
d. Chất lượng của mạng vô sản.
"
"U01-Q1005-QuangBT2::","Đặc điểm nổi bật của giai cấp công nhân so với giai cấp tư sản dân tộc Việt Nam Việt Nam trong thời kỳ Pháp xâm lược là:
Select one:
a. Tinh thần chống Pháp cao.
b. Tinh thần yêu nước cao.
c. Ra đời trước.
d. Ra đời sau.
"
"U01-Q1006-QuangBT2::","Căn cứ nào để đánh giá giai cấp tư sản Việt Nam trong thời kỳ chưa có Đảng Cộng sản không đủ điều kiện để lãnh đạo cuộc cách mạng dân tộc, dân chủ đi đến thành công?
Select one:
a. Quan hệ sản xuất thống trị.
b. Trình độ giác ngộ cách mạng.
c. Thế lực kinh tế và địa vị chính trị.
d. Số lượng và trình độ chính trị.
"
"U01-Q1007-QuangBT2::","Sự phân hoá giai cấp trong thời kỳ chưa có Đảng Cộng sản, bộ phận nào là lực lượng có tinh thần cách mạng cao và nhạy cảm chính trị?
Select one:
a. Tiểu tư sản.
b. Công nhân.
c. Nông dân.
d. Tư sản.
"
"U01-Q1008-QuangBT2::","Mâu thuẫn giữa toàn thể nhân dân Việt Nam với thực dân Pháp xâm lược là mâu thuẫn gì?
Select one:
a. Quan trọng nhất.
b. Cơ bản, chủ yếu.
c. Sâu sắc nhất.
d. Cơ bản nhất.
"
"U01-Q1009-QuangBT2::","Sự thất bại của các phòng trào yêu nước theo lập trường quốc gia tư sản ở Việt Nam đầu thế kỷ XX đã phản ánh yếu tố nào (?) yếu kém của giai cấp này trong tiến trình cách mạng dân tộc.
Select one:
a. Địa vị lãnh đạo và thứ bậc.
b. Địa vị kinh tế và chính trị.
c. Trình độ tổ chức.
d. Trình độ chính trị.
"
"U01-Q1011-QuangBT2::","Nguyễn Ái Quốc đến Quảng Châu. Tháng 6 - 1925, người thành lập Hội:
Select one:
a. Việt Nam độc lập đồng minh.
b. Việt Nam cách mạng thanh niên.
c. Đông dương độc lập đồng minh.
d. Đông Dương cách mạng thanh niên.
"
"U01-Q1012-QuangBT2::","Đường cách mệnh đã chuẩn bị về tư tưởng chính trị cho việc thành lập Đảng Cộng sản Việt Nam, đề cập những vấn đề cơ bản của một:
Select one:
a. Xã hội mới.
b. Cương lĩnh chính trị.
c. Đường lối cách mạng.
d. Chủ nghĩa cách mạng.
"
"U01-Q1013-QuangBT2::","Tuyên ngôn của Đảng Cộng sản (1848) xác định, giai cấp công nhân phải đồng thời giải phóng cho các tầng lớp nhân dân lao động khác trong xã hội thì mới:
Select one:
a. Giải phóng được các dân tộc.
b. Tiến lên chủ nghĩa cộng sản được.
c. Tiến lên chủ nghĩa xã hội được.
d. Giải phóng được giai cấp mình.
"
"U01-Q1015-QuangBT2::","Yếu tố nào (?) đã mở đầu một thời đại mới “thời đại cách mạng chống đế quốc, thời đại giải phóng dân tộc”?
Select one:
a. Tuyên ngôn của Đảng cộng sản.
b. Cách mạng Tháng Tám.
c. Cách mạng Tháng Mười.
d. Sơ thảo luận cương của Lênin 1920.
"
"U01-Q1017-QuangBT2::","Chỉ ra phương hướng đấu tranh giải phóng các dân tộc thuộc địa, mở ra con đường giải phóng các dân tộc bị áp bức trên lập trường cách mạng vô sản là ai?
Select one:
a. Hồ Chí Minh.
b. Ph.Ăngghen.
c. C.Mác.
d. Lênin.
"
"U01-Q1018-QuangBT2::","Nguyễn Ái Quốc còn nhấn mạnh vai trò của Quốc tế Cộng sản đối với cách mạng Việt Nam là An Nam muốn cách mệnh thành công, thì tất phải nhờ:
Select one:
a. Đệ tam quốc tế.
b. Lãnh đạo của Quốc tế.
c. Quốc tế cộng sản.
d. Đệ nhị quốc tế.
"
"U01-Q1019-QuangBT2::","Chia Việt Nam ra thành ba xứ và thực hiện ở mỗi kỳ một chế độ cai trị riêng, thực dân Pháp câu kết với bộ phận nào (?) trong việc bóc lột kinh tế và áp bức chính trị đối với nhân dân Việt Nam.
Select one:
a. Tư sản Việt Nam.
b. Giai cấp địa chủ.
c. Đại địa chủ.
d. Giai cấp tư sản.
"
"U01-Q1020-QuangBT2::","Nguyễn Ái Quốc đã vạch rõ tội ác của chế độ cai trị thực dân ở Đông Dương là, chúng tôi không những bị áp bức và bóc lột, mà còn bị hành hạ và đầu độc một cách thê thảm… chúng tôi phải sống trong cảnh ngu dốt tối tăm vì chúng tôi không có:
Select one:
a. Tự do, dân chủ.
b. Quyền tự do học tập.
c. Độc lập tự do.
d. Tư liệu sản xuất.
"
"U01-Q1022-QuangBT2::","Trước sự xâm lược của thực dân Pháp cuối thế kỉ XIX, đầu thế kỷ XX, phong trào đấu tranh giải phóng dân tộc theo khuynh hướng nào diễn ra mạnh mẽ?
Select one:
a. Tư sản.
b. Dân tộc tư sản.
c. Phong kiến và tư sản.
d. Dân chủ nhân dân.
"
"U01-Q1023-QuangBT2::","Các phong trào đấu tranh chống Pháp trên các lập trường giai cấp khác nhau diễn ra sôi nổi trước khi có Đảng. Mục tiêu của các cuộc đấu tranh ở thời kỳ này:
Select one:
a. Dân chủ nhân dân.
b. Hướng tới độc lập dân tộc.
c. Dân sinh, dân quyền.
d. Chế độ cộng hòa tư sản.
"
"U01-Q1024-QuangBT2::","Phong trào yêu nước cuối thế kỉ XIX đầu thế kỉ XX đều thất bại trở thành một trong những nhân tố:
Select one or more:
a. Thắng lợi cách mạng tháng 8.
b. Tích cực.
c. Thành công của cách mạng.
d. Cho sự ra đời của Đảng.
"
"U01-Q1025-QuangBT2::","Tại Đại hội Đảng Xã hội Pháp (12-1920) Nguyễn Ái Quốc tán thành gia nhập Quốc tế Cộng sản và tham gia thành lập Đảng Cộng sản Pháp. Sự kiện này đánh dấu Người đã từ:
Select one:
a. Người Việt Nam thành cộng sản.
b. Công nhân thành Đảng viên.
c. Yêu nước thành người cộng sản.
d. Người thuộc địa thành cộng sản.
"
"U01-Q1026-QuangBT2::","Từ năm nào (?) Nguyễn Ái Quốc đã xúc tiến truyền bá chủ nghĩa Mác - Lênin, vạch phương hướng chiến lược cách mạng Việt Nam và chuẩn bị điều kiện để thành lập Đảng Cộng sản Việt Nam?
Select one:
a. 1930.
b. 1920.
c. 1936.
d. 1925.
"
"U01-Q1028-QuangBT2::","Nhằm truyền bá chủ nghĩa Mác – Lênin trước khi thành lập Đảng (từ năm 1925 – 1927), cùng với đào tạo cán bộ, Nguyễn Ái Quốc đã tổ chức ra các tờ báo Thanh niên, Công nông, Lính cách mệnh và:
Select one:
a. Nhân đạo.
b. Tiền phong.
c. Người cùng khổ.
d. Người lao động.
"
"U01-Q1030-QuangBT2::","Ba tổ chức Đảng tiền thân của Đảng Cộng sản Việt Nam đều giương cao ngọn cờ chống đế quốc, phong kiến, xây dựng chủ nghĩa cộng sản Việt Nam. Một trong những đặc điểm của ba tổ chức là:
Select one:
a. Thống nhất, đoàn kết.
b. Hoạt động phân tán, chia rẽ.
c. Đoàn kết xuôi chiều.
d. Hoạt động phân tán, đoàn kết.
"
