U01-Q1001-QuangBT2::,"Từ cuối thế kỷ XIX, chủ nghĩa tư bản đã chuyển sang giai đoạn gì?
Select one:
a. Cạnh tranh tự do.
b. Độc quyền.
c. Phát xít hoá.
d. chủ nghĩa tư bản nhà nước.
",@,,$$
U01-Q1002-QuangBT2::,"Cuối thế kỷ XIX mâu thuẫn giữa chủ nghĩa thực dân với ai ngày càng gay gắt?
Select one:
a. Chủ nghĩa cộng sản.
b. Chủ nghĩa phát xít.
c. Các dân tộc thuộc địa.
d. Chủ nghĩa dân tộc.
",@,,$$
U01-Q1003-QuangBT2::,"Tuyên ngôn của Đảng Cộng sản (1848) xác định: những người cộng sản hiểu rõ những điều kiện, tiến trình và:
Select one:
a. Kết quả của phong trào vô sản.
b. Chất lượng của giai cấp vô sản.
c. Chất lượng của phong trào vô sản.
d. Chất lượng của mạng vô sản.
",@,,$$
U01-Q1004-QuangBT2::,"Với thắng lợi của Cách mạng Tháng Mười, chủ nghĩa Mác – Lênin:
Select one:
a. Đã được thử thách, trưởng thành.
b. Đã thắng lợi trên thực tế.
c. Đã trở thành vô dịch.
d. Từ lý luận đã trở thành hiện thực.
",@,,$$
U01-Q1005-QuangBT2::,"Đặc điểm nổi bật của giai cấp công nhân so với giai cấp tư sản dân tộc Việt Nam Việt Nam trong thời kỳ Pháp xâm lược là:
Select one:
a. Tinh thần yêu nước cao.
b. Ra đời sau.
c. Tinh thần chống Pháp cao.
d. Ra đời trước.
",@,,$$
U01-Q1006-QuangBT2::,"Căn cứ nào để đánh giá giai cấp tư sản Việt Nam trong thời kỳ chưa có Đảng Cộng sản không đủ điều kiện để lãnh đạo cuộc cách mạng dân tộc, dân chủ đi đến thành công?
Select one:
a. Số lượng và trình độ chính trị.
b. Thế lực kinh tế và địa vị chính trị.
c. Quan hệ sản xuất thống trị.
d. Trình độ giác ngộ cách mạng.
",@,,$$
U01-Q1008-QuangBT2::,"Mâu thuẫn giữa toàn thể nhân dân Việt Nam với thực dân Pháp xâm lược là mâu thuẫn gì?
Select one:
a. Sâu sắc nhất.
b. Cơ bản nhất.
c. Cơ bản, chủ yếu.
d. Quan trọng nhất.
",@,,$$
U01-Q1009-QuangBT2::,"Sự thất bại của các phòng trào yêu nước theo lập trường quốc gia tư sản ở Việt Nam đầu thế kỷ XX đã phản ánh yếu tố nào (?) yếu kém của giai cấp này trong tiến trình cách mạng dân tộc.
Select one:
a. Địa vị kinh tế và chính trị.
b. Trình độ tổ chức.
c. Trình độ chính trị.
d. Địa vị lãnh đạo và thứ bậc.
",@,,$$
U01-Q1010-QuangBT2::,"Hồ Chí Minh tìm hiểu Cách mạng Tháng Mười Nga đã kết luận: Trong thế giới bây giờ chỉ có cách mệnh Nga là đã thành công, và thành công đến nơi, nghĩa là dân chúng được hưởng:
Select one:
a. Hạnh phúc, tự do, bình đẳng.
b. Đầy đủ tự do, bình đẳng.
c. Tự do, sung sướng.
d. No đủ, hạnh phúc.
",@,,$$
U01-Q1011-QuangBT2::,"Nguyễn Ái Quốc đến Quảng Châu. Tháng 6 - 1925, người thành lập Hội:
Select one:
a. Đông dương độc lập đồng minh.
b. Đông Dương cách mạng thanh niên.
c. Việt Nam độc lập đồng minh.
d. Việt Nam cách mạng thanh niên.
",@,,$$
